"","site.code","subplot","Ntrees","a.can","can","b.can","E","D","C","CI","I","OG","roost.type","core.periph","meandist","plotID"
"1","DAVO","1",43,1,21,21,1,14,7,0,21,0,"urban","peripheral",1.35564318660117,"DAVO001"
"2","DAVO","10",75,4,41,30,4,0,41,5,25,0,"urban","core",1.23030615206741,"DAVO010"
"3","DAVO","2",13,0,10,3,0,1,9,0,3,0,"urban","peripheral",1.96520730582985,"DAVO002"
"4","DAVO","3",22,1,16,5,1,4,12,0,5,0,"urban","core",2.30503492013576,"DAVO003"
"5","DAVO","4",10,0,10,0,0,4,6,0,0,0,"urban","peripheral",3.04396355238594,"DAVO004"
"6","DAVO","5",37,1,32,4,1,2,29,0,4,1,"urban","core",1.25981258439197,"DAVO005"
"7","DAVO","6",16,0,14,2,0,1,13,0,2,0,"urban","peripheral",1.35432294571558,"DAVO006"
"8","DAVO","7",20,0,19,1,0,0,19,1,0,0,"urban","core",1.7216249072285,"DAVO007"
"9","DAVO","8",15,0,15,0,0,1,14,0,0,0,"urban","peripheral",2.15611178975058,"DAVO008"
"10","DAVO","9",17,0,12,5,0,3,9,0,5,0,"urban","core",2.16245167638807,"DAVO009"
"11","DBUR","1",58,0,49,9,0,6,43,7,2,0,"urban","peripheral",1.43244135240559,"DBUR001"
"12","DBUR","10",19,0,7,12,0,3,4,2,10,0,"urban","peripheral",2.60275608636285,"DBUR010"
"13","DBUR","2",54,0,34,20,0,8,26,17,3,0,"urban","peripheral",1.54722087542043,"DBUR002"
"14","DBUR","3",11,0,8,3,0,6,2,0,3,0,"urban","peripheral",4.80577196626258,"DBUR003"
"15","DBUR","4",37,0,30,7,0,5,25,5,2,0,"urban","core",1.87473567392953,"DBUR004"
"16","DBUR","5",34,1,23,10,1,4,19,5,5,0,"urban","core",2.02275054368316,"DBUR005"
"17","DBUR","6",30,0,20,10,0,9,11,2,8,0,"urban","core",2.38981957468211,"DBUR006"
"18","DBUR","7",32,0,19,13,0,8,11,3,10,0,"urban","core",1.91679691636674,"DBUR007"
"19","DBUR","8",28,1,19,8,1,10,9,2,6,0,"urban","core",2.36997996452625,"DBUR008"
"20","DBUR","9",24,0,13,11,0,9,4,3,8,0,"urban","peripheral",2.41105943209789,"DBUR009"
"21","DCAN","1",42,4,31,7,4,4,27,7,0,0,"rural","core",1.68509577273174,"DCAN001"
"22","DCAN","10",27,10,17,0,10,0,17,0,0,0,"rural","peripheral",1.96011572633747,"DCAN010"
"23","DCAN","2",71,10,47,14,10,2,45,14,0,0,"rural","core",1.41636641857701,"DCAN002"
"24","DCAN","3",70,2,43,25,2,1,42,24,1,0,"rural","core/peripheral",1.17296424542572,"DCAN003"
"25","DCAN","4",48,6,35,7,6,7,28,7,0,0,"rural","peripheral",1.65340063782944,"DCAN004"
"26","DCAN","5",50,4,36,10,4,1,35,10,0,0,"rural","peripheral",1.36564448507131,"DCAN005"
"27","DCAN","6",54,5,42,7,5,0,42,7,0,0,"rural","core",1.36164157801748,"DCAN006"
"28","DCAN","7",26,7,14,5,7,0,14,5,0,0,"rural","core/peripheral",1.33578112927825,"DCAN007"
"29","DCAN","8",24,1,14,9,1,0,14,9,0,0,"rural","peripheral",1.00293103734342,"DCAN008"
"30","DCAN","9",62,9,36,17,9,0,36,17,0,0,"rural","core",0.922014024980979,"DCAN009"
"31","DCLU","1",14,0,13,1,0,3,10,0,1,0,"rural","peripheral",2.08711796996161,"DCLU001"
"32","DCLU","10",37,5,22,10,5,0,22,3,7,0,"rural","peripheral",1.97440626804159,"DCLU010"
"33","DCLU","2",46,5,32,9,5,7,25,7,2,0,"rural","core",2.06431112899471,"DCLU002"
"34","DCLU","3",29,0,22,7,0,9,13,5,2,0,"rural","core",2.24245202227655,"DCLU003"
"35","DCLU","4",32,3,21,8,3,7,14,1,7,0,"rural","core",2.38290799480198,"DCLU004"
"36","DCLU","5",41,5,26,10,5,1,25,3,7,0,"rural","core",1.85336551519474,"DCLU005"
"37","DCLU","6",35,5,18,12,5,5,13,1,11,0,"rural","peripheral",2.31284947513501,"DCLU006"
"38","DCLU","7",42,4,21,17,4,3,18,4,13,0,"rural","peripheral",2.21914575042014,"DCLU007"
"39","DCLU","8",36,4,26,6,4,0,26,3,3,0,"rural","core/peripheral",2.44608801278624,"DCLU008"
"40","DCLU","9",37,1,29,7,1,1,28,1,6,0,"rural","core/peripheral",2.07304273965154,"DCLU009"
"41","DLIS","1",60,5,34,21,5,6,28,0,21,0,"rural","core",1.38114393724518,"DLIS001"
"42","DLIS","10",47,3,25,19,3,0,25,16,3,0,"rural","peripheral",1.56425607749853,"DLIS010"
"43","DLIS","2",72,8,36,28,8,11,25,24,4,0,"rural","core",1.25984426358961,"DLIS002"
"44","DLIS","3",59,5,45,9,5,14,31,4,5,0,"rural","peripheral",1.38780348960479,"DLIS003"
"45","DLIS","4",43,1,27,15,1,3,24,1,14,0,"rural","core",1.67189828375661,"DLIS004"
"46","DLIS","5",36,7,17,12,7,0,17,2,10,0,"rural","core",1.58084261122856,"DLIS005"
"47","DLIS","6",57,6,36,15,6,0,36,0,15,0,"rural","peripheral",1.29312623683042,"DLIS006"
"48","DLIS","7",29,7,12,10,7,0,12,0,10,0,"rural","core",1.90486540509048,"DLIS007"
"49","DLIS","8",33,7,8,18,7,0,8,0,18,0,"rural","peripheral",2.09222582208208,"DLIS008"
"50","DLIS","9",38,7,16,15,7,0,16,3,12,0,"rural","peripheral",1.73071807062221,"DLIS009"
"51","DRED","1",16,5,3,8,5,1,2,2,6,0,"urban","core",2.9966737608478,"DRED001"
"52","DRED","10",44,7,14,23,7,3,11,6,17,0,"urban","core",1.81593166676783,"DRED010"
"53","DRED","2",41,4,22,15,4,2,20,4,11,0,"urban","core",1.9990957943276,"DRED002"
"54","DRED","3",43,2,23,18,2,6,17,3,15,0,"urban","core",1.38191089150381,"DRED003"
"55","DRED","4",52,5,46,1,5,1,45,1,0,0,"urban","peripheral",1.32012986336961,"DRED004"
"56","DRED","5",20,3,11,6,3,3,8,6,0,0,"urban","peripheral",2.17466966655389,"DRED005"
"57","DRED","6",6,2,2,2,2,0,2,0,2,0,"urban","peripheral",3.1215016997784,"DRED006"
"58","DRED","7",14,2,11,1,2,0,11,1,0,0,"urban","peripheral",2.38317804263564,"DRED007"
"59","DRED","8",44,6,26,12,6,2,24,6,6,0,"urban","core",1.40311445003054,"DRED008"
"60","DRED","9",6,5,0,1,5,0,0,0,1,0,"urban","peripheral",4.60970637721114,"DRED009"
"61","DSUN","1",23,0,13,10,0,3,10,3,7,0,"urban","core",2.24399334539785,"DSUN001"
"62","DSUN","10",21,0,9,12,0,5,4,0,12,0,"urban","peripheral",2.52803169603983,"DSUN010"
"63","DSUN","2",24,0,21,3,0,4,17,0,3,0,"urban","core",2.78727360982003,"DSUN002"
"64","DSUN","3",23,0,14,9,0,5,9,1,8,0,"urban","core",2.73378294662741,"DSUN003"
"65","DSUN","4",16,0,9,7,0,1,8,1,6,0,"urban","peripheral",3.12964087493296,"DSUN004"
"66","DSUN","5",23,0,9,14,0,5,4,3,11,0,"urban","peripheral",2.75125160301845,"DSUN005"
"67","DSUN","6",19,0,7,12,0,1,6,4,8,0,"urban","peripheral",2.22711944969536,"DSUN006"
"68","DSUN","7",18,0,8,10,0,2,6,0,10,0,"urban","core",2.67310021913432,"DSUN007"
"69","DSUN","8",24,0,11,13,0,0,11,0,13,0,"urban","core",2.26637445218818,"DSUN008"
"70","DSUN","9",35,0,11,24,0,4,7,0,24,0,"urban","peripheral",2.038667626708,"DSUN009"
"71","DTOW","1",21,3,10,8,3,0,10,3,5,0,"urban","core",1.90630479812573,"DTOW001"
"72","DTOW","10",9,1,4,4,1,0,4,0,4,0,"urban","peripheral",3.30063271135976,"DTOW010"
"73","DTOW","2",16,3,8,5,3,0,8,1,4,0,"urban","core",3.07120763829773,"DTOW002"
"74","DTOW","3",12,2,6,4,2,0,6,0,4,0,"urban","core",4.12792715911741,"DTOW003"
"75","DTOW","4",19,1,11,7,1,0,11,0,7,0,"urban","core",2.16330774475851,"DTOW004"
"76","DTOW","5",4,1,2,1,1,0,2,0,1,0,"urban","peripheral",7.63717239999499,"DTOW005"
"77","DTOW","6",10,1,6,3,1,0,6,0,3,0,"urban","core",4.1547263554076,"DTOW006"
"78","DTOW","7",16,0,5,11,0,0,5,0,11,0,"urban","peripheral",2.57958663612682,"DTOW007"
"79","DTOW","8",9,3,3,3,3,0,3,0,3,0,"urban","peripheral",3.04163254315834,"DTOW008"
"80","DTOW","9",2,0,2,0,0,0,0,0,0,2,"urban","peripheral",11.9419428905015,"DTOW009"
